MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
60%,31,2656,189.19889496948713,203.95260628359932,188.4973792791384,188.4973792791384,186.81877259168917,183.84476701699532,183.84476701699532,0.0,7185,5900,3393
60%,32,2657,172.27875510309295,189.0130360182365,171.6116107944464,171.59392238582467,175.75375223542878,173.5341748920183,173.43164908707976,0.0,7109,5864,3323
60%,33,2658,183.26091770377138,199.9453767367414,182.45561478206645,182.45561478206645,183.71606065080175,180.2458016388894,180.2458016388894,0.0,7213,5953,3424
60%,34,2659,177.14631215965733,192.12424061666238,176.060595158594,176.060595158594,179.41349515248558,174.95912652177034,174.95912652177034,0.0,7084,5824,3347
60%,35,2660,171.27674698562998,188.8681809725351,171.27674698562998,171.24267281120203,174.0898313666645,174.0898313666645,173.89937506826115,0.0,7146,5885,3341
60%,36,2661,183.15346868569392,198.2770445257383,182.54198914213703,182.54156467069586,186.8011515375642,183.94983472705044,183.94679057623657,0.0,7103,5867,3322
60%,37,2662,184.35667709434048,200.58386192278434,183.51566192406082,183.51566192406082,185.44604777345876,182.10479757977677,182.10479757977677,0.0,7146,5870,3404
60%,38,2663,192.70274541334024,206.81524322167036,191.80477451284406,191.80477451284406,195.28095860389772,191.2622180028435,191.2622180028435,0.0,7216,5907,3366
60%,39,2664,181.16601266851973,192.25253321380598,180.68869333743737,180.66158095541033,181.8411722273522,180.16476603790537,179.99872950505144,0.0,7150,5869,3354
60%,40,2665,184.2749481014903,198.76913032568808,183.18763668389238,183.18763668389238,188.82765073539016,184.38650805464877,184.38650805464877,0.0,7215,5925,3352
60%,41,2666,189.23702493006246,204.98407625392238,188.61385410387606,188.55234972244915,192.30573544886113,190.38112192958445,189.96393057764465,0.0,7206,5924,3401
